Arabic,Transliteration,Translation,Last Reviewed,Interval,Ease Factor,Repetition
إلىلَ,ilaala___,To,2025-09-27,1,2.5,0
اليوم,al-yoom,Today,2025-09-27,1,2.5,0
مَع بَعْضسَوَا,ma3 ba3Dsawaa,Together,2025-09-27,1,2.5,0
بَنْدورَة,bandoora,Tomato,2025-09-27,1,2.5,0
لِسان,lisaan,Tongue,2025-09-27,1,2.5,0
كَمان,kamaan,Too,2025-09-27,1,2.5,0
سِنّ,sinn,Tooth,2025-09-27,1,2.5,0
سايِح,saayeH,Tourist,2025-09-27,1,2.5,0
تِجارَة,tijaara,Trade,2025-09-27,1,2.5,0
تَقْليد,taqliid,Tradition,2025-09-27,1,2.5,0
قِطار,qiTaar,Train,2025-09-27,1,2.5,0
حَوَّل,Hawwal,To transfer,2025-09-27,1,2.5,0
تَرْجَم,tarjam,To translate,2025-09-27,1,2.5,0
تَرْجَمِة,tarjameh,Translation,2025-09-27,1,2.5,0
سافَر,saafar,To travel,2025-09-27,1,2.5,0
صَنِيِّة,Saniyyeh,Tray,2025-09-27,1,2.5,0
شَجَرَة,shajara,Tree,2025-09-27,1,2.5,0
مْثَلَّث,mthallath,Triangle,2025-09-27,1,2.5,0
رَحْلِةمِشْوار,raHlehmishwaar,Trip,2025-09-27,1,2.5,0
بَنْطَلون,banTaloon,Trousers,2025-09-27,1,2.5,0
حَقيقة,haqeeqa,Truth,2025-09-27,1,2.5,0
وَقَّف,waqqaf,To turn sth off,2025-09-27,1,2.5,0
شَغَّل,shaghghal,To turn sth on,2025-09-27,1,2.5,0
مُسَلْسَل,musalsal,TV show,2025-09-27,1,2.5,0
عِشْرين,3ishreen,Twenty,2025-09-27,1,2.5,0
مَرّتَيْن,marrtayn,Twice,2025-09-27,1,2.5,0
اتْنَيْن,itnayn,Two,2025-09-27,1,2.5,0
بِشِع,bishi3,Ugly,2025-09-27,1,2.5,0
خالعَمّ,khaal3amm,Uncle (maternal)Uncle (paternal),2025-09-27,1,2.5,0
تَحْت,taHt,Under,2025-09-27,1,2.5,0
فِهِم,fihim,To understand,2025-09-27,1,2.5,0
جامِعَة,jaami3a,University,2025-09-27,1,2.5,0
لَحَتّى,laHattaa,Until,2025-09-27,1,2.5,0
عاجِل,3aajil,Urgent,2025-09-27,1,2.5,0
اسْتَعْمَل,ista3mal,To use,2025-09-27,1,2.5,0
مْسْتَعْمَل,musta3mal,Used,2025-09-27,1,2.5,0
مُفيد,mufiid,Useful,2025-09-27,1,2.5,0
عادةً,3aadatan,Usually,2025-09-27,1,2.5,0
وادي,waadiy,Valley,2025-09-27,1,2.5,0
خُضْراوات,khuDraawaat,Vegetables,2025-09-27,1,2.5,0
كْتير,ktiir,Very,2025-09-27,1,2.5,0
مَنْظَر,manDHar,View,2025-09-27,1,2.5,0
قَرْيِة,qaryeh,Village,2025-09-27,1,2.5,0
فَيْروس,fayruus,Virus,2025-09-27,1,2.5,0
زْيارَة,zyaara,Visit,2025-09-27,1,2.5,0
زار,zaar,To visit,2025-09-27,1,2.5,0
صوت,Soot,Voice,2025-09-27,1,2.5,0
اسْتَنَّى,istannaa,To wait,2025-09-27,1,2.5,0
نادِل,naadil,Waiter,2025-09-27,1,2.5,0
صِحِي,SiHi,To wake up,2025-09-27,1,2.5,0
مَشَى,mashaa,To walk,2025-09-27,1,2.5,0
حَيْط,HayT,Wall,2025-09-27,1,2.5,0
مَحْفَظَة,maHfaDHa,Wallet,2025-09-27,1,2.5,0
كان بِدُّه,kaan biddo,To want,2025-09-27,1,2.5,0
حَرْب,Harb,War,2025-09-27,1,2.5,0
غَسَل,ghasal,To wash,2025-09-27,1,2.5,0
حِضِر,HiDir,To watch,2025-09-27,1,2.5,0
ساعة,saa3a,Watch,2025-09-27,1,2.5,0
ماي,maay,Water,2025-09-27,1,2.5,0
طَريقة,Tariiqa,Way,2025-09-27,1,2.5,0
احنا,iHnaa,We,2025-09-27,1,2.5,0
ضْعيف,D3iif,Weak,2025-09-27,1,2.5,0
جَوّ,jaww,Weather,2025-09-27,1,2.5,0
مَوْقِع,mawqi3,Website,2025-09-27,1,2.5,0
عُرُس,3urus,Wedding,2025-09-27,1,2.5,0
أُسْبوع,usbuu3,Week,2025-09-27,1,2.5,0
غَريب,ghariib,Weird,2025-09-27,1,2.5,0
أهلاً,ahlan,Welcome,2025-09-27,1,2.5,0
تَمام,tamaam,Well,2025-09-27,1,2.5,0
غَرْب,gharb,West,2025-09-27,1,2.5,0
شو,shou,What,2025-09-27,1,2.5,0
مَتى,mataa,When,2025-09-27,1,2.5,0
إِلِّي,illiy,Which,2025-09-27,1,2.5,0
لَمّا,lammaa,While,2025-09-27,1,2.5,0
أبْيَض,abyaD,White,2025-09-27,1,2.5,0
مين,miin,Who,2025-09-27,1,2.5,0
زوجِة,zoojeh,Wife,2025-09-27,1,2.5,0
رح,raH,Will,2025-09-27,1,2.5,0
فاز,faaz,To win,2025-09-27,1,2.5,0
ريح,riiH,Wind,2025-09-27,1,2.5,0
شِبّاك,shibbaak,Window,2025-09-27,1,2.5,0
شِتَا,shitaa,Winter,2025-09-27,1,2.5,0
تْمَنَّى,tmannaa,To wish/ hope,2025-09-27,1,2.5,0
مَع,ma3,With,2025-09-27,1,2.5,0
بِدون,biduun,Without,2025-09-27,1,2.5,0
مَرة,mara,Woman,2025-09-27,1,2.5,0
كِلْمِة,kilmeh,Word,2025-09-27,1,2.5,0
شُغُل,shughul,Work,2025-09-27,1,2.5,0
عامِل,3aamil,Worker,2025-09-27,1,2.5,0
عالَم,3aalam,World,2025-09-27,1,2.5,0
قَلْقان,qalqaan,Worried,2025-09-27,1,2.5,0
أَسْوَأ,aswaa’,Worse,2025-09-27,1,2.5,0
كَتَب,katab,To write,2025-09-27,1,2.5,0
غَلَط,ghalaT,Wrong,2025-09-27,1,2.5,0
آه,aah,Yeah,2025-09-27,1,2.5,0
سَنِة,saneh,Year,2025-09-27,1,2.5,0
أصْفَر,aSfar,Yellow,2025-09-27,1,2.5,0
نَعْم,na3m,Yes,2025-09-27,1,2.5,0
صْغير,Sghiir,Young,2025-09-27,1,2.5,0
